run,noise,model,acc
run1,0,model_nt,0.9801
run1,0.1,model_nt,0.979571429
run1,0.2,model_nt,0.976857143
run1,0.3,model_nt,0.967028571
run1,0.4,model_nt,0.934685714
run1,0.5,model_nt,0.876457143
run1,0.6,model_nt,0.7955
run1,0.7,model_nt,0.7105
run1,0.8,model_nt,0.623285714
run1,0.9,model_nt,0.550185714
run1,1,model_nt,0.487328571
run2,0,model_nt,0.980028571
run2,0.1,model_nt,0.978928571
run2,0.2,model_nt,0.975657143
run2,0.3,model_nt,0.965371429
run2,0.4,model_nt,0.932242857
run2,0.5,model_nt,0.876057143
run2,0.6,model_nt,0.787985714
run2,0.7,model_nt,0.690742857
run2,0.8,model_nt,0.6007
run2,0.9,model_nt,0.5172
run2,1,model_nt,0.456314286
run3,0,model_nt,0.978314286
run3,0.1,model_nt,0.977357143
run3,0.2,model_nt,0.9742
run3,0.3,model_nt,0.965771429
run3,0.4,model_nt,0.9374
run3,0.5,model_nt,0.8909
run3,0.6,model_nt,0.823114286
run3,0.7,model_nt,0.749628571
run3,0.8,model_nt,0.673671429
run3,0.9,model_nt,0.606085714
run3,1,model_nt,0.542957143
run4,0,model_nt,0.981057143
run4,0.1,model_nt,0.9799
run4,0.2,model_nt,0.976671429
run4,0.3,model_nt,0.965685714
run4,0.4,model_nt,0.9337
run4,0.5,model_nt,0.873842857
run4,0.6,model_nt,0.7925
run4,0.7,model_nt,0.705785714
run4,0.8,model_nt,0.623485714
run4,0.9,model_nt,0.551471429
run4,1,model_nt,0.5005
run5,0,model_nt,0.980128571
run5,0.1,model_nt,0.979671429
run5,0.2,model_nt,0.975557143
run5,0.3,model_nt,0.966171429
run5,0.4,model_nt,0.935271429
run5,0.5,model_nt,0.8834
run5,0.6,model_nt,0.8066
run5,0.7,model_nt,0.721671429
run5,0.8,model_nt,0.640785714
run5,0.9,model_nt,0.567
run5,1,model_nt,0.498671429
run1,0,model_asd,0.879585714
run1,0.1,model_asd,0.878885714
run1,0.2,model_asd,0.864157143
run1,0.3,model_asd,0.826614286
run1,0.4,model_asd,0.750285714
run1,0.5,model_asd,0.637842857
run1,0.6,model_asd,0.524657143
run1,0.7,model_asd,0.429771429
run1,0.8,model_asd,0.3539
run1,0.9,model_asd,0.3001
run1,1,model_asd,0.2621
run2,0,model_asd,0.836285714
run2,0.1,model_asd,0.8354
run2,0.2,model_asd,0.822214286
run2,0.3,model_asd,0.794642857
run2,0.4,model_asd,0.752485714
run2,0.5,model_asd,0.7002
run2,0.6,model_asd,0.644628571
run2,0.7,model_asd,0.589942857
run2,0.8,model_asd,0.539385714
run2,0.9,model_asd,0.494785714
run2,1,model_asd,0.4519
run3,0,model_asd,0.912914286
run3,0.1,model_asd,0.910642857
run3,0.2,model_asd,0.905328571
run3,0.3,model_asd,0.893128571
run3,0.4,model_asd,0.869785714
run3,0.5,model_asd,0.8348
run3,0.6,model_asd,0.789642857
run3,0.7,model_asd,0.736157143
run3,0.8,model_asd,0.684014286
run3,0.9,model_asd,0.624471429
run3,1,model_asd,0.576557143
run4,0,model_asd,0.871657143
run4,0.1,model_asd,0.8642
run4,0.2,model_asd,0.843857143
run4,0.3,model_asd,0.801828571
run4,0.4,model_asd,0.726942857
run4,0.5,model_asd,0.6353
run4,0.6,model_asd,0.545228571
run4,0.7,model_asd,0.471328571
run4,0.8,model_asd,0.413471429
run4,0.9,model_asd,0.363028571
run4,1,model_asd,0.328985714
run5,0,model_asd,0.896828571
run5,0.1,model_asd,0.894428571
run5,0.2,model_asd,0.885928571
run5,0.3,model_asd,0.865785714
run5,0.4,model_asd,0.8232
run5,0.5,model_asd,0.763385714
run5,0.6,model_asd,0.692828571
run5,0.7,model_asd,0.6271
run5,0.8,model_asd,0.5645
run5,0.9,model_asd,0.5091
run5,1,model_asd,0.4649
run1,0,model_syn,0.8786571428571428
run1,0.1,model_syn,0.8789857142857143
run1,0.2,model_syn,0.8683571428571428
run1,0.3,model_syn,0.8408285714285715
run1,0.4,model_syn,0.7900285714285714
run1,0.5,model_syn,0.7139857142857143
run1,0.6,model_syn,0.6391142857142857
run1,0.7,model_syn,0.5209
run1,0.8,model_syn,0.4985428571428571
run1,0.9,model_syn,0.4201285714285714
run1,1,model_syn,0.3958857142857143
run2,0,model_syn,0.8781571428571429
run2,0.1,model_syn,0.8771
run2,0.2,model_syn,0.8659714285714286
run2,0.3,model_syn,0.8327142857142857
run2,0.4,model_syn,0.7721714285714286
run2,0.5,model_syn,0.6765
run2,0.6,model_syn,0.6158857142857143
run2,0.7,model_syn,0.5387142857142857
run2,0.8,model_syn,0.47878571428571426
run2,0.9,model_syn,0.42205714285714285
run2,1,model_syn,0.3789571428571429
run3,0,model_syn,0.9205142857142857
run3,0.1,model_syn,0.9196714285714286
run3,0.2,model_syn,0.9144714285714286
run3,0.3,model_syn,0.9015857142857143
run3,0.4,model_syn,0.8790285714285714
run3,0.5,model_syn,0.8167
run3,0.6,model_syn,0.7508714285714285
run3,0.7,model_syn,0.7064142857142857
run3,0.8,model_syn,0.6352428571428571
run3,0.9,model_syn,0.5698571428571428
run3,1,model_syn,0.5239
run4,0,model_syn,0.9141714285714285
run4,0.1,model_syn,0.9126714285714286
run4,0.2,model_syn,0.9075285714285715
run4,0.3,model_syn,0.8936142857142857
run4,0.4,model_syn,0.8674428571428572
run4,0.5,model_syn,0.8134571428571429
run4,0.6,model_syn,0.7440285714285714
run4,0.7,model_syn,0.6745142857142858
run4,0.8,model_syn,0.6234285714285714
run4,0.9,model_syn,0.5394857142857143
run4,1,model_syn,0.5030857142857142
run5,0,model_syn,0.8798428571428571
run5,0.1,model_syn,0.8782
run5,0.2,model_syn,0.8684571428571428
run5,0.3,model_syn,0.8469571428571429
run5,0.4,model_syn,0.8057857142857143
run5,0.5,model_syn,0.7361285714285715
run5,0.6,model_syn,0.6597285714285715
run5,0.7,model_syn,0.6120142857142857
run5,0.8,model_syn,0.5196857142857143
run5,0.9,model_syn,0.4910285714285714
run5,1,model_syn,0.44454285714285713
run1,0,model_hom,0.939028571
run1,0.1,model_hom,0.937614286
run1,0.2,model_hom,0.9319
run1,0.3,model_hom,0.918142857
run1,0.4,model_hom,0.886785714
run1,0.5,model_hom,0.833971429
run1,0.6,model_hom,0.765042857
run1,0.7,model_hom,0.693242857
run1,0.8,model_hom,0.625685714
run1,0.9,model_hom,0.564442857
run1,1,model_hom,0.5093
run2,0,model_hom,0.944871429
run2,0.1,model_hom,0.943942857
run2,0.2,model_hom,0.938571429
run2,0.3,model_hom,0.926271429
run2,0.4,model_hom,0.897771429
run2,0.5,model_hom,0.857614286
run2,0.6,model_hom,0.799771429
run2,0.7,model_hom,0.734942857
run2,0.8,model_hom,0.673342857
run2,0.9,model_hom,0.610728571
run2,1,model_hom,0.556242857
run3,0,model_hom,0.951357143
run3,0.1,model_hom,0.949528571
run3,0.2,model_hom,0.943128571
run3,0.3,model_hom,0.931585714
run3,0.4,model_hom,0.907714286
run3,0.5,model_hom,0.864
run3,0.6,model_hom,0.805485714
run3,0.7,model_hom,0.736442857
run3,0.8,model_hom,0.668114286
run3,0.9,model_hom,0.604871429
run3,1,model_hom,0.542742857
run4,0,model_hom,0.939385714
run4,0.1,model_hom,0.937657143
run4,0.2,model_hom,0.932514286
run4,0.3,model_hom,0.916614286
run4,0.4,model_hom,0.884528571
run4,0.5,model_hom,0.831814286
run4,0.6,model_hom,0.765271429
run4,0.7,model_hom,0.696885714
run4,0.8,model_hom,0.629071429
run4,0.9,model_hom,0.560771429
run4,1,model_hom,0.509671429
run5,0,model_hom,0.950185714
run5,0.1,model_hom,0.948571429
run5,0.2,model_hom,0.943314286
run5,0.3,model_hom,0.9309
run5,0.4,model_hom,0.9019
run5,0.5,model_hom,0.856714286
run5,0.6,model_hom,0.794085714
run5,0.7,model_hom,0.721828571
run5,0.8,model_hom,0.648328571
run5,0.9,model_hom,0.578157143
run5,1,model_hom,0.520742857
